model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9163853818575497,0.6531752068536032,0.9536436392868166,0.9149087541025417,0.6486284284267708,0.9469586374695864,0.9151520578574638,0.6394573017349876,0.9482335361297898
SVC,0.9133745245056207,0.6162077825770933,0.9491419045905977,0.9119698576443189,0.6350887104926035,0.9467153284671533,0.9098665820045386,0.5848537532349797,0.9429501547657168
KNeighborsClassifier,0.7860687843491238,0.47825593898006347,0.9495070901590502,0.7907040934809016,0.47694388831632545,0.9450121654501217,0.7959433565277506,0.4752443598607137,0.9476464937560038
GaussianNB,0.8583133555163753,0.3688262066022733,0.8400647837051809,0.8665360956555006,0.3875016055466915,0.8418491484184915,0.8512794918936432,0.34253730522458226,0.8265022948020067
LogisticRegression,0.9138280167840496,0.6365705559797633,0.9516361734681416,0.9146067264905062,0.6522367921330121,0.9479318734793187,0.9092083840554663,0.608988950130366,0.9458853666346462
DecisionTreeClassifier,0.8768355986406533,0.5622878698411286,0.8542975090991053,0.8949627667071608,0.6167020378634912,0.848661800486618,0.883652047838277,0.5803345177577589,0.845714590671363
RandomForestClassifier,0.9146574592524453,0.6315070631961586,0.9499327698809067,0.9094579946708905,0.6429806036281874,0.9464720194647201,0.9073433750632462,0.5986810036661531,0.9443910769559185
