model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9203005604232747,0.673424843188495,0.9546171898883532,0.9256122770868429,0.692824173830493,0.9542579075425791,0.9203717410507789,0.669548720902836,0.952182730280713
SVC,0.9143782901904496,0.6273685188846937,0.9507844254110236,0.9228403347808287,0.6687649557268237,0.9484184914841849,0.9140137112570572,0.6133534904619072,0.9464190415199061
KNeighborsClassifier,0.8038987059067605,0.4954543859103541,0.950297936943959,0.7979833784137509,0.5012220778824676,0.9454987834549878,0.8026494278209438,0.4897658953687922,0.94716618635927
GaussianNB,0.8735842180075128,0.4085451506342618,0.8681707855986535,0.8829886303383381,0.43875681925546084,0.867639902676399,0.8710062895444777,0.3903414931584245,0.8529725691108977
LogisticRegression,0.9157625128144158,0.6511499390086166,0.9532179225541597,0.925019967381018,0.6915129198004017,0.9518248175182482,0.914636445459722,0.6396623225523022,0.9493008859003095
DecisionTreeClassifier,0.8755607566837691,0.5590432151167514,0.8622087897690305,0.8914617633043161,0.628077555857216,0.8379562043795621,0.8764918986525863,0.5759064875635107,0.8314121037463977
RandomForestClassifier,0.9165443198306044,0.6501428259047904,0.9531571693251525,0.921419127073084,0.6808382807072496,0.9527980535279805,0.9116237594994414,0.6331787312328178,0.9491941509232575
