model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
SVC,0.9166631246801666,0.6203489259809591,0.9499936896585162,0.9181610042082515,0.6450598790557127,0.9481751824817518,0.9168368884747624,0.6053126570581787,0.9456185291920163
KNeighborsClassifier,0.8063931631443187,0.4603039940370925,0.9449443986744213,0.8167946648500266,0.468059669460631,0.9418491484184914,0.8116391431257525,0.47036566919693357,0.9441776070018145
GaussianNB,0.8715633057182396,0.43952316368937916,0.7718097615246081,0.8834169222715161,0.47336064016265733,0.7406326034063261,0.8691101584534383,0.43219779021119253,0.7246771266944178
LogisticRegression,0.9176450642728069,0.6473317868502759,0.9524271682962523,0.9206548294215166,0.6767396960651657,0.9501216545012166,0.9170976586830447,0.6366888995389131,0.9501013982281994
MLPClassifier,0.9150989170398223,0.6421166702750907,0.9530354408023349,0.9181370936889653,0.6562403609828417,0.9515815085158151,0.9152351336142046,0.6282998149959699,0.9499412957626214
DecisionTreeClassifier,0.8806395631654246,0.5688992801592263,0.8557601389237407,0.8717603343781251,0.5843797892358205,0.8547445255474453,0.880169962979105,0.5798661917188911,0.8494503148681823
RandomForestClassifier,0.9185706602144611,0.6422433966545144,0.9529747245841282,0.9173434322417833,0.6769741148092266,0.9545012165450122,0.9135306194696176,0.6329708766185154,0.9511153805101932
