model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9219341832777511,0.6706861250773333,0.9536436022760162,0.9303130012819393,0.6947620197681107,0.9530413625304136,0.9214452342903328,0.6669418768727948,0.9515956879069271
SVC,0.9181365894533983,0.6373423918700254,0.9516970007187497,0.9264520816414193,0.6821387790169604,0.9508515815085158,0.9159310705000075,0.6269047977579754,0.9480200661756858
KNeighborsClassifier,0.7989046237057684,0.49724145705121614,0.9512103642084833,0.8052962219701596,0.5516315844238787,0.9510948905109489,0.8079981706634873,0.510257042174694,0.9490874159462056
GaussianNB,0.8763642817619057,0.4219582129164704,0.8406732412652659,0.8838317907552704,0.44884031652714906,0.8411192214111922,0.8746068095402696,0.40249268321797443,0.8286903618315722
LogisticRegression,0.9188404460217481,0.6543057708044951,0.9525487117650673,0.9276333451907136,0.6881515877304848,0.9523114355231144,0.9149689572197425,0.6375117338634235,0.9497278258085174
DecisionTreeClassifier,0.8805001080332243,0.5646199058545898,0.8559428612457687,0.8803798668393817,0.6087490991523656,0.8712895377128954,0.8793223189073742,0.574625749927115,0.872184864980254
RandomForestClassifier,0.916270179077026,0.6347699400356623,0.9506019806699992,0.921321387581967,0.6765463101313728,0.9515815085158151,0.9131173697630963,0.6180369269397158,0.9475931262674778
