model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
SVC,0.9165320482617434,0.6221322107969113,0.9492635775972144,0.9195935379514475,0.6536244599103929,0.9474452554744526,0.9116738554331546,0.5991358336705631,0.9447646493756003
KNeighborsClassifier,0.7904413573185458,0.4858853285342476,0.9496286891440662,0.8040260280684327,0.5019549639230336,0.9476885644768857,0.7955778023247853,0.4823387051192796,0.9472195538477959
GaussianNB,0.8588215589091931,0.3749862588817273,0.8606272257370147,0.8584186840992529,0.3844571145682729,0.8583941605839416,0.8479045079660883,0.34391349599769083,0.8437933610844274
LogisticRegression,0.9178296801759463,0.6422287796524185,0.9520619272115989,0.9222606095588384,0.6753635864672243,0.9498783454987835,0.912028242417563,0.6245006597512286,0.9475397587789519
MLPClassifier,0.9125555613586505,0.6367393411525913,0.9521229210108093,0.9210415925580396,0.660965697188211,0.9484184914841849,0.9086134113494008,0.6200052593147549,0.9479666986871598
DecisionTreeClassifier,0.8689793771324181,0.5718338440413324,0.8401892880380352,0.8779275704227716,0.618147937126219,0.9114355231143553,0.8629536186797717,0.580021803454316,0.9013768812039705
RandomForestClassifier,0.9141096495800655,0.6296175141024298,0.951210345703083,0.9225580228601344,0.6781575498520261,0.9501216545012166,0.9143494375061576,0.6249648598110314,0.94716618635927
