model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9217947198290716,0.6589641894181857,0.9525487487758678,0.917885404012269,0.6716860701086597,0.9484184914841849,0.9167276375926566,0.6479672232358167,0.9494609883658875
SVC,0.919841676236316,0.6286683223233815,0.9499326588485053,0.9153576006926499,0.653935048044335,0.9464720194647201,0.9126983798975037,0.6088844300136872,0.9463123065428541
KNeighborsClassifier,0.80394703160485,0.4785438176124148,0.9487161878579407,0.7988277972790666,0.4964687943278676,0.9464720194647201,0.804353837599002,0.48243574578585496,0.94716618635927
GaussianNB,0.8670422361025365,0.4277168227683393,0.825951307110441,0.8603214580550764,0.43329231486819547,0.8204379562043795,0.8544161652898633,0.3802591747343895,0.8096915359163198
LogisticRegression,0.9212367750360098,0.6480882457237864,0.9526094464886743,0.9175657581228649,0.6635052902564238,0.9479318734793187,0.9117636941409465,0.6214393382162565,0.9475931262674778
DecisionTreeClassifier,0.8706754899986,0.569720429064472,0.8288133893232723,0.8653011383085112,0.5989207401567078,0.8588807785888077,0.8727740289320715,0.5884995591687131,0.8582025829864447
RandomForestClassifier,0.9163337205696245,0.6266779545608447,0.9503587641945671,0.9207198492546629,0.6698735490344941,0.9515815085158151,0.9161586312788992,0.6169402078359769,0.9474330238018999
