model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9283888319669072,0.682736727955836,0.9545562330999433,0.9363216728302671,0.7087141225319403,0.9532846715328467,0.9221641526857267,0.6744529713569865,0.9518625253495571
SVC,0.9231421853166288,0.6328362683730084,0.9500545354145247,0.9296653198472412,0.6769978941614799,0.9479318734793187,0.9168202941967202,0.6141479380869491,0.946845981428114
KNeighborsClassifier,0.8067056899997931,0.5211593499881653,0.9524879400306597,0.8282901713503319,0.5568037139745496,0.9503649635036496,0.8194398523171873,0.5325079733370559,0.9500480307396734
GaussianNB,0.8830143186038862,0.44355529025464324,0.8640956003781023,0.8917570791916399,0.4792179360476324,0.851338199513382,0.8811222449323789,0.4206876253214563,0.8418187640089657
LogisticRegression,0.9234244398439222,0.659510257177847,0.9536437503192182,0.930133462645896,0.6941306474642669,0.9513381995133819,0.9162669428622477,0.6385503294827071,0.9493008859003095
DecisionTreeClassifier,0.8778043811752012,0.5731848719050454,0.8483398990493406,0.893285674494775,0.6209020936358534,0.8644768856447689,0.8896467568727446,0.5709783926000741,0.8603372825274842
RandomForestClassifier,0.920656259563047,0.6513525829091218,0.9533395770553763,0.9222731940426732,0.6766448182544302,0.9498783454987835,0.9141439815580169,0.6261150674504049,0.9489806809691536
