model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9225089956684898,0.6674735132879028,0.9544346156095271,0.927474780694395,0.7019361954388499,0.9532846715328467,0.9223708610322101,0.672842457374055,0.9525563027003949
SVC,0.9181724677621201,0.6248688419936343,0.9498719611356986,0.9232791137838691,0.6632684299075077,0.9498783454987835,0.917755293052863,0.6125000949365438,0.94636567403138
KNeighborsClassifier,0.8115871584951184,0.5039368737649141,0.949628837187268,0.802180723255455,0.5173992996099348,0.9476885644768857,0.8103271097485018,0.502657621797747,0.9483402711068417
GaussianNB,0.8765039903280559,0.45500413926483824,0.8358065060545968,0.8892263394924594,0.5034090221206182,0.8418491484184915,0.8758708551876846,0.44556125335327934,0.824741167680649
LogisticRegression,0.9186602398192635,0.6543892996490639,0.9527919282404991,0.9234158651748741,0.6873261565052702,0.9525547445255474,0.9148431746795114,0.6371933482903445,0.9497278258085174
DecisionTreeClassifier,0.8827931481926805,0.5505930506126132,0.8345312063966507,0.86897245172592,0.5972754258298838,0.8574209245742093,0.875216435306946,0.5573182005286512,0.8546269612552033
RandomForestClassifier,0.9189666621524999,0.6471422615122392,0.9533395770553763,0.9205814199324801,0.6699973387466706,0.9515815085158151,0.9141613481483708,0.6244676734982861,0.9493542533888355
