model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
MLPClassifier,0.9127797476739442,0.6503462222547098,0.9523052917302328,0.9203184042203324,0.6744926737913731,0.9476885644768857,0.9137274547424985,0.6545455520477997,0.9516490553954531
SVC,0.9101850370418074,0.5977255890737608,0.9487769225815477,0.9199886907438606,0.6450101618515613,0.9481751824817518,0.9075065834406222,0.5942702580319525,0.9460988365887502
KNeighborsClassifier,0.7905487834146833,0.4806236523307654,0.9489595523765745,0.7838077963394254,0.4809233386301212,0.945985401459854,0.7927544581206343,0.4775400581198336,0.9462055715658021
GaussianNB,0.8708605135158194,0.42894399548029816,0.8215709863452354,0.879063949313055,0.44388495173084586,0.8199513381995134,0.8699302915082383,0.4099163276258738,0.813694097555769
LogisticRegression,0.9104229731038249,0.6410452954047112,0.9530354037915345,0.9206674139053512,0.6687107646927716,0.9518248175182482,0.907993599409536,0.630257843344345,0.9508485430675633
DecisionTreeClassifier,0.856208076318502,0.5649066406743622,0.8417082483010192,0.866977391555308,0.6062970685240532,0.8520681265206813,0.8627095053694491,0.5772467812994359,0.8449140783434732
RandomForestClassifier,0.9105744832008871,0.638164123546039,0.9532180150811609,0.9172352056808037,0.6626739900189927,0.9515815085158151,0.9083993764726117,0.632300100516565,0.9512754829757711
